,TwonHalfDecade,constituentid_x,counts
4646,2000,32923,1
3352,1950,995,1
4506,2000,12294,1
4654,2000,34338,1
4518,2000,13609,1
3350,1950,991,1
4515,2000,13168,1
4316,1975,46806,1
4862,2025,51448,1
4861,2025,51281,1
4297,1975,39153,1
4849,2025,48693,1
3765,1975,165,1
4326,1975,47289,1
3409,1950,1602,1
3407,1950,1588,1
3764,1975,164,1
4847,2025,48064,1
4538,2000,17843,1
3943,1975,1626,1
3404,1950,1571,1
3398,1950,1549,1
4536,2000,17611,1
4850,2025,49763,1
3402,1950,1562,1
3401,1950,1557,1
4535,2000,17484,1
4665,2000,35242,1
3999,1975,5670,1
3944,1975,1627,1
4846,2025,47798,1
3410,1950,1609,1
3942,1975,1624,1
4845,2025,47656,1
4286,1975,38206,1
3418,1950,1640,1
3417,1950,1639,1
4332,1975,47447,1
3416,1950,1638,1
4490,2000,10147,1
3940,1975,1607,1
4797,2025,18314,1
4843,2025,47248,1
3413,1950,1629,1
4329,1975,47361,1
4119,1975,21251,1
4844,2025,47447,1
4289,1975,38280,1
4328,1975,47354,1
4327,1975,47290,1
3941,1975,1620,1
4322,1975,47072,1
4851,2025,49764,1
4530,2000,16748,1
3385,1950,1300,1
4494,2000,10276,1
3389,1950,1322,1
3762,1975,150,1
3992,1975,4803,1
3741,1975,56,1
4498,2000,10879,1
4857,2025,50399,1
4320,1975,46890,1
4115,1975,20176,1
3397,1950,1534,1
3383,1950,1287,1
3382,1950,1273,1
3381,1950,1244,1
3380,1950,1243,1
4114,1975,20125,1
3379,1950,1233,1
3760,1975,147,1
4860,2025,51051,1
4531,2000,16819,1
3950,1975,1670,1
4856,2025,50139,1
3391,1950,1465,1
3396,1950,1525,1
3945,1975,1637,1
4117,1975,20533,1
4116,1975,20532,1
3997,1975,5564,1
4852,2025,49765,1
4533,2000,16937,1
4853,2025,49835,1
4321,1975,47049,1
3947,1975,1646,1
4532,2000,16884,1
4854,2025,50066,1
4290,1975,38357,1
3995,1975,5403,1
4855,2025,50137,1
3949,1975,1664,1
3392,1950,1470,1
3493,1950,13167,1
4137,1975,23491,1
4796,2025,17142,1
4609,2000,29353,1
4193,1975,30309,1
4611,2000,29735,1
3832,1975,520,1
3833,1975,521,1
4734,2000,48717,1
3612,1950,31067,1
4070,1975,13101,1
3611,1950,30898,1
4608,2000,29239,1
4071,1975,13165,1
4378,1975,52825,1
3608,1950,30581,1
3607,1950,30497,1
4607,2000,29227,1
4606,2000,28766,1
4400,2000,478,1
3605,1950,30374,1
4377,1975,52747,1
4733,2000,48647,1
3614,1950,31260,1
3576,1950,25799,1
4189,1975,30049,1
4613,2000,29974,1
4726,2000,46883,1
3624,1950,32739,1
3623,1950,31703,1
3673,1950,38357,1
4153,1975,24699,1
4728,2000,47060,1
4152,1975,24557,1
3829,1975,511,1
4379,1975,52837,1
4612,2000,29937,1
4072,1975,13166,1
3830,1975,517,1
3619,1950,31440,1
3618,1950,31370,1
3831,1975,519,1
3615,1950,31291,1
4191,1975,30149,1
4376,1975,52702,1
4374,1975,52606,1
4373,1975,52464,1
4740,2000,49835,1
4200,1975,30876,1
4202,1975,31074,1
4063,1975,12002,1
3678,1950,39058,1
4203,1975,31127,1
3843,1975,575,1
4598,2000,26793,1
3845,1975,591,1
4742,2000,50076,1
4692,2000,38114,1
3579,1950,26539,1
4743,2000,50234,1
3788,1975,287,1
4450,2000,3024,1
3680,1950,42734,1
3578,1950,26421,1
4205,1975,31200,1
4744,2000,50260,1
4199,1975,30875,1
3585,1950,27759,1
4739,2000,49762,1
3789,1975,294,1
3601,1950,30149,1
4605,2000,28402,1
4149,1975,24347,1
3600,1950,30083,1
4092,1975,16819,1
3598,1950,29797,1
4736,2000,49319,1
4197,1975,30521,1
3596,1950,29312,1
3595,1950,28975,1
4066,1975,12749,1
4371,1975,52110,1
3676,1950,38832,1
4601,2000,27329,1
4691,2000,38083,1
4738,2000,49704,1
3677,1950,38851,1
3826,1975,500,1
3795,1975,327,1
4614,2000,29993,1
3648,1950,35272,1
4165,1975,26479,1
4621,2000,30719,1
4394,2000,402,1
3652,1950,35436,1
3651,1950,35433,1
3650,1950,35428,1
4158,1975,25780,1
4698,2000,38285,1
4620,2000,30606,1
3643,1950,34760,1
4709,2000,39659,1
4711,2000,40827,1
3647,1950,35269,1
4697,2000,38262,1
3815,1975,447,1
4712,2000,42686,1
4083,1975,15256,1
4168,1975,26988,1
4708,2000,39215,1
4707,2000,39153,1
4159,1975,26104,1
4622,2000,30770,1
4627,2000,30959,1
3804,1975,409,1
4161,1975,26294,1
4626,2000,30911,1
4625,2000,30876,1
4624,2000,30875,1
4160,1975,26158,1
4700,2000,38629,1
3657,1950,35798,1
3802,1975,389,1
3801,1975,381,1
3810,1975,435,1
4704,2000,38688,1
4396,2000,425,1
4699,2000,38435,1
4705,2000,38854,1
3811,1975,437,1
3644,1950,35162,1
3642,1950,34750,1
4155,1975,25030,1
4616,2000,30079,1
4076,1975,13701,1
4181,1975,28065,1
4720,2000,46177,1
3669,1950,38083,1
4722,2000,46278,1
4075,1975,13609,1
4384,2000,100,1
4183,1975,28973,1
3796,1975,339,1
3641,1950,34527,1
4073,1975,13167,1
4184,1975,28984,1
4724,2000,46436,1
4185,1975,29059,1
4694,2000,38205,1
3822,1975,482,1
4188,1975,30045,1
4615,2000,30049,1
4077,1975,13707,1
3632,1950,33094,1
3633,1950,33882,1
4719,2000,46120,1
3640,1950,34493,1
4435,2000,1829,1
3816,1975,454,1
4393,2000,347,1
4387,2000,147,1
4386,2000,118,1
4171,1975,27349,1
3798,1975,371,1
4716,2000,45074,1
4441,2000,1964,1
3637,1950,34347,1
4156,1975,25155,1
4080,1975,14389,1
4087,1975,16177,1
4088,1975,16503,1
3818,1975,461,1
4177,1975,27856,1
4206,1975,31284,1
3681,1950,42747,1
4350,1975,49762,1
4096,1975,17314,1
4779,2025,2474,1
3884,1975,1061,1
4143,1975,23895,1
3515,1950,16645,1
3886,1975,1083,1
4095,1975,17251,1
4142,1975,23836,1
3888,1975,1091,1
4238,1975,34644,1
3881,1975,1045,1
4141,1975,23827,1
4097,1975,17567,1
3889,1975,1105,1
4783,2025,6747,1
4785,2025,6903,1
4786,2025,7169,1
4576,2000,23827,1
3509,1950,15541,1
3883,1975,1057,1
4777,2025,923,1
3787,1975,280,1
4045,1975,10147,1
4359,1975,50566,1
